ref_char,pred_char,count,ref_total,error_rate
 ,∅,697,23016,3.0
a,o,278,7826,3.6
r,∅,207,5678,3.6
o,a,186,7389,2.5
∅, ,170,1,
s,∅,152,5988,2.5
e,∅,148,12029,1.2
i,∅,128,6321,2.0
s,r,121,5988,2.0
.,∅,120,1326,9.0
∅,e,113,1,
t,∅,113,8617,1.3
r,s,111,5678,2.0
n,∅,108,6573,1.6
o,∅,105,7389,1.4
m,n,98,2183,4.5
∅,r,98,1,
t,l,86,8617,1.0
r,n,84,5678,1.5
c,∅,82,2327,3.5
a,e,82,7826,1.0
n,r,81,6573,1.2
',∅,78,429,18.2
l,∅,78,3972,2.0
u,a,76,2816,2.7
u,n,74,2816,2.6
n,m,74,6573,1.1
e,o,73,12029,0.6
h,∅,71,5804,1.2
",",∅,70,1331,5.3
a,∅,70,7826,0.9
"""",∅,70,576,12.2
s,n,69,5988,1.2
l,t,68,3972,1.7
e,a,67,12029,0.6
u,e,66,2816,2.3
o,e,63,7389,0.9
∅,s,62,1,
u,∅,59,2816,2.1
n,u,57,6573,0.9
∅,t,52,1,
t,f,50,8617,0.6
"""",',49,576,8.5
l,d,48,3972,1.2
-,∅,47,362,13.0
a,u,47,7826,0.6
h,l,46,5804,0.8
∅,o,44,1,
∅,a,44,1,
∅,n,44,1,
d,l,41,4090,1.0
c,e,41,2327,1.8
v,r,39,961,4.1
∅,l,38,1,
∅,c,38,1,
r,t,37,5678,0.7
∅,i,37,1,
f,t,35,2124,1.6
h,n,34,5804,0.6
m,r,33,2183,1.5
l,e,33,3972,0.8
S,s,33,241,13.7
h,t,33,5804,0.6
s,t,32,5988,0.5
t,d,32,8617,0.4
y,g,31,1848,1.7
r,v,30,5678,0.5
b,h,29,1466,2.0
g,y,29,2026,1.4
s,o,29,5988,0.5
l,h,28,3972,0.7
h,b,27,5804,0.5
i,r,27,6321,0.4
w,n,27,2262,1.2
n,s,26,6573,0.4
r,w,26,5678,0.5
w,v,26,2262,1.1
r,e,26,5678,0.5
t,h,26,8617,0.3
n,y,26,6573,0.4
∅,u,26,1,
i,n,25,6321,0.4
o,u,25,7389,0.3
I,∅,25,306,8.2
i,e,25,6321,0.4
m,w,24,2183,1.1
k,h,23,726,3.2
∅,h,23,1,
o,s,23,7389,0.3
e,c,23,12029,0.2
k,l,22,726,3.0
b,l,22,1466,1.5
a,s,22,7826,0.3
f,F,21,2124,1.0
d,∅,21,4090,0.5
r,i,21,5678,0.4
w,u,21,2262,0.9
h,S,21,5804,0.4
e,i,21,12029,0.2
i,a,21,6321,0.3
k,t,21,726,2.9
u,m,20,2816,0.7
v,∅,20,961,2.1
w,W,19,2262,0.8
w,r,19,2262,0.8
i,u,19,6321,0.3
h,d,19,5804,0.3
f,∅,19,2124,0.9
m,∅,18,2183,0.8
∅,.,18,1,
o,r,18,7389,0.2
m,u,18,2183,0.8
",",.,18,1331,1.4
u,r,18,2816,0.6
u,o,17,2816,0.6
r,o,17,5678,0.3
c,a,17,2327,0.7
a,i,17,7826,0.2
b,∅,17,1466,1.2
n,a,17,6573,0.3
c,o,17,2327,0.7
w,m,16,2262,0.7
w,∅,16,2262,0.7
H,t,16,196,8.2
s,a,16,5988,0.3
h,H,16,5804,0.3
p,∅,16,1632,1.0
',"""",16,429,3.7
r,c,16,5678,0.3
i,o,15,6321,0.2
c,d,15,2327,0.6
u,i,15,2816,0.5
f,l,15,2124,0.7
i,h,15,6321,0.2
n,e,15,6573,0.2
∅,f,15,1,
y,∅,15,1848,0.8
h,e,15,5804,0.3
s,e,15,5988,0.3
d,t,14,4090,0.3
∅,',14,1,
C,c,14,141,9.9
e,s,14,12029,0.1
f,p,14,2124,0.7
∅,y,14,1,
G,b,14,157,8.9
e,l,14,12029,0.1
a,n,14,7826,0.2
r,m,13,5678,0.2
e,u,13,12029,0.1
r,a,13,5678,0.2
a,r,13,7826,0.2
T,t,13,358,3.6
 ,i,13,23016,0.1
O,o,13,61,21.3
W,w,13,122,10.7
d,c,13,4090,0.3
h,s,13,5804,0.2
p,e,13,1632,0.8
w,o,13,2262,0.6
r,u,13,5678,0.2
e,r,13,12029,0.1
l,b,13,3972,0.3
L,l,13,123,10.6
b,t,13,1466,0.9
c,r,13,2327,0.6
w,s,13,2262,0.6
e,n,12,12029,0.1
w,a,12,2262,0.5
(,∅,12,49,24.5
;,",",12,60,20.0
n,h,12,6573,0.2
k,b,12,726,1.7
v,w,12,961,1.2
∅,b,12,1,
∅,g,12,1,
k,∅,12,726,1.7
k,e,12,726,1.7
1,∅,11,70,15.7
h,f,11,5804,0.2
o,c,11,7389,0.1
g,∅,11,2026,0.5
m,s,11,2183,0.5
s,c,11,5988,0.2
 ,s,11,23016,0.0
k,r,11,726,1.5
p,s,11,1632,0.7
 ,r,11,23016,0.0
s,p,11,5988,0.2
A,a,11,208,5.3
t,r,11,8617,0.1
u,w,11,2816,0.4
e,E,10,12029,0.1
n,i,10,6573,0.2
A,t,10,208,4.8
t,T,10,8617,0.1
g,s,10,2026,0.5
h,k,10,5804,0.2
m,y,10,2183,0.5
s,m,10,5988,0.2
s,S,10,5988,0.2
 ,e,10,23016,0.0
i, ,10,6321,0.2
t,e,10,8617,0.1
.,",",10,1326,0.8
e,k,10,12029,0.1
o,O,9,7389,0.1
v,s,9,961,0.9
r,x,9,5678,0.2
∅,I,9,1,
t,A,9,8617,0.1
s,v,9,5988,0.2
b,d,9,1466,0.6
M,N,9,150,6.0
d,s,9,4090,0.2
∅,",",9,1,
n,v,9,6573,0.1
n,w,9,6573,0.1
0,o,8,34,23.5
B,b,8,195,4.1
r,h,8,5678,0.1
x,e,8,175,4.6
∅,d,8,1,
m,h,8,2183,0.4
f,j,8,2124,0.4
c,n,8,2327,0.3
v,n,8,961,0.8
S,∅,8,241,3.3
s,w,8,5988,0.1
a,c,8,7826,0.1
c,C,8,2327,0.3
s,u,8,5988,0.1
s,g,8,5988,0.1
k,d,8,726,1.1
w,h,8,2262,0.4
t,k,8,8617,0.1
s,y,8,5988,0.1
g,a,8,2026,0.4
i,t,8,6321,0.1
q,g,8,82,9.8
i,s,8,6321,0.1
e,h,8,12029,0.1
s,d,8,5988,0.1
t,a,7,8617,0.1
y,e,7,1848,0.4
h,r,7,5804,0.1
v,e,7,961,0.7
d,a,7,4090,0.2
y,u,7,1848,0.4
t,n,7,8617,0.1
g,p,7,2026,0.3
A,∅,7,208,3.4
',i,7,429,1.6
N,M,7,64,10.9
H,h,7,196,3.6
t,b,7,8617,0.1
 ,n,7,23016,0.0
u,v,7,2816,0.2
l,k,7,3972,0.2
 ,t,7,23016,0.0
l,f,7,3972,0.2
∅,k,7,1,
∅,v,7,1,
o,d,7,7389,0.1
S,t,7,241,2.9
G,f,7,157,4.5
l,M,7,3972,0.2
h,o,7,5804,0.1
o,i,6,7389,0.1
l,r,6,3972,0.2
b,s,6,1466,0.4
h,i,6,5804,0.1
s,f,6,5988,0.1
p,r,6,1632,0.4
M,H,6,150,4.0
b,k,6,1466,0.4
∅,#,6,1,
l,c,6,3972,0.2
u,h,6,2816,0.2
z,g,6,45,13.3
t,i,6,8617,0.1
g,q,6,2026,0.3
p,o,6,1632,0.4
c,u,6,2327,0.3
a,d,6,7826,0.1
w,t,6,2262,0.3
u,s,6,2816,0.2
"""",s,6,576,1.0
u, ,6,2816,0.2
t,c,6,8617,0.1
z,r,6,45,13.3
-, ,6,362,1.7
:,.,6,29,20.7
∅,"""",6,1,
d,o,6,4090,0.1
y,",",6,1848,0.3
y,s,6,1848,0.3
t,I,6,8617,0.1
∅,S,6,1,
∅,p,6,1,
o,h,6,7389,0.1
l,n,6,3972,0.2
., ,6,1326,0.5
k,u,6,726,0.8
G,g,6,157,3.8
l,D,5,3972,0.1
h,R,5,5804,0.1
c, ,5,2327,0.2
∅,-,5,1,
E,e,5,82,6.1
m,a,5,2183,0.2
k,i,5,726,0.7
n,l,5,6573,0.1
o,n,5,7389,0.1
r,z,5,5678,0.1
r,l,5,5678,0.1
p,g,5,1632,0.3
m,e,5,2183,0.2
i,l,5,6321,0.1
o,w,5,7389,0.1
e,t,5,12029,0.0
∅,m,5,1,
"""",.,5,576,0.9
n,t,5,6573,0.1
d,b,5,4090,0.1
y,Y,5,1848,0.3
C,∅,5,141,3.5
W,N,5,122,4.1
 ,u,5,23016,0.0
n,o,5,6573,0.1
y,p,5,1848,0.3
b,e,5,1466,0.3
g,o,5,2026,0.2
P,p,5,109,4.6
T,∅,5,358,1.4
a,g,5,7826,0.1
-,.,5,362,1.4
),t,5,48,10.4
k,n,5,726,0.7
r,p,5,5678,0.1
o,0,5,7389,0.1
w,e,4,2262,0.2
M,t,4,150,2.7
 ,o,4,23016,0.0
L,h,4,123,3.3
m,i,4,2183,0.2
',e,4,429,0.9
T,C,4,358,1.1
 ,.,4,23016,0.0
h, ,4,5804,0.1
f,b,4,2124,0.2
.,e,4,1326,0.3
s,b,4,5988,0.1
F,f,4,84,4.8
a,w,4,7826,0.1
t, ,4,8617,0.0
h,u,4,5804,0.1
v,o,4,961,0.4
P,∅,4,109,3.7
h,a,4,5804,0.1
l,u,4,3972,0.1
∅,w,4,1,
s,i,4,5988,0.1
m,v,4,2183,0.2
h,W,4,5804,0.1
.,-,4,1326,0.3
K,k,4,19,21.1
a,A,4,7826,0.1
1,l,4,70,5.7
.,:,4,1326,0.3
l,i,4,3972,0.1
y,v,4,1848,0.2
I,H,4,306,1.3
t,N,4,8617,0.0
t,s,4,8617,0.0
1, ,4,70,5.7
u,c,4,2816,0.1
b,o,4,1466,0.3
H,M,4,196,2.0
v,u,4,961,0.4
w,i,4,2262,0.2
L,∅,4,123,3.3
k,a,4,726,0.6
', ,4,429,0.9
I,i,4,306,1.3
J,j,4,65,6.2
n,N,4,6573,0.1
x,r,4,175,2.3
d,e,4,4090,0.1
',l,4,429,0.9
h,L,3,5804,0.1
 ,T,3,23016,0.0
n,p,3,6573,0.0
B,D,3,195,1.5
e,#,3,12029,0.0
d,h,3,4090,0.1
",","""",3,1331,0.2
D,d,3,92,3.3
y,i,3,1848,0.2
r,y,3,5678,0.1
l,I,3,3972,0.1
p,c,3,1632,0.2
2,∅,3,32,9.4
o,v,3,7389,0.0
 ,M,3,23016,0.0
R,L,3,67,4.5
J,t,3,65,4.6
',n,3,429,0.7
w,c,3,2262,0.1
z,∅,3,45,6.7
 ,O,3,23016,0.0
M,h,3,150,2.0
l,L,3,3972,0.1
",",e,3,1331,0.2
-,n,3,362,0.8
l,y,3,3972,0.1
r,k,3,5678,0.1
s,j,3,5988,0.1
a,p,3,7826,0.0
 ,l,3,23016,0.0
2,1,3,32,9.4
r,b,3,5678,0.1
.,"""",3,1326,0.2
t,E,3,8617,0.0
n,b,3,6573,0.0
J,f,3,65,4.6
l,o,3,3972,0.1
i,p,3,6321,0.0
B,∅,3,195,1.5
p,n,3,1632,0.2
d,w,3,4090,0.1
V,N,3,24,12.5
a,m,3,7826,0.0
k,s,3,726,0.4
 ,I,3,23016,0.0
o,A,3,7389,0.0
∅,A,3,1,
a,0,3,7826,0.0
",",y,3,1331,0.2
 ,h,3,23016,0.0
o,g,3,7389,0.0
o,t,3,7389,0.0
L,S,3,123,2.4
t,p,3,8617,0.0
e,p,3,12029,0.0
y,o,3,1848,0.2
d,g,3,4090,0.1
t,H,3,8617,0.0
T,S,3,358,0.8
L,f,3,123,2.4
.,s,3,1326,0.2
o,b,3,7389,0.0
O,0,3,61,4.9
!,?,3,47,6.4
J,g,3,65,4.6
∅,T,3,1,
L,(,3,123,2.4
g,j,3,2026,0.1
x,t,3,175,1.7
!,∅,3,47,6.4
",",;,3,1331,0.2
r,d,3,5678,0.1
w,N,3,2262,0.1
-,e,3,362,0.8
C,L,3,141,2.1
