wrong,correct,count,type,wrong_repr,correct_repr
 ,,2413,delete_n:0,' ',''
,"""",362,insert_0:n,'',"'""'"
,s,222,insert_0:n,'','s'
 .,,150,delete_n:0,' .',''
n,m,99,substitute_1:1,'n','m'
,e,97,insert_0:n,'','e'
r,s,95,substitute_1:1,'r','s'
,r,82,insert_0:n,'','r'
o,a,68,substitute_1:1,'o','a'
,t,66,insert_0:n,'','t'
n,u,59,substitute_1:1,'n','u'
" """,,58,delete_n:0,"' ""'",''
a,e,57,substitute_1:1,'a','e'
""" ",,47,delete_n:0,"'"" '",''
,o,45,insert_0:n,'','o'
t,d,44,substitute_1:1,'t','d'
t,h,42,substitute_1:1,'t','h'
a,o,42,substitute_1:1,'a','o'
,l,42,insert_0:n,'','l'
,n,37,insert_0:n,'','n'
t,,37,delete_n:0,'t',''
s,,36,delete_n:0,'s',''
,a,36,insert_0:n,'','a'
" ,",,35,delete_n:0,"' ,'",''
,c,33,insert_0:n,'','c'
, ,32,insert_0:n,'',' '
r,,31,delete_n:0,'r',''
h,w,30,substitute_1:1,'h','w'
o,e,30,substitute_1:1,'o','e'
,h,29,insert_0:n,'','h'
 ,s,29,substitute_1:1,' ','s'
,y,28,insert_0:n,'','y'
r,n,28,substitute_1:1,'r','n'
,u,28,insert_0:n,'','u'
,d,27,insert_0:n,'','d'
s,r,27,substitute_1:1,'s','r'
t,l,27,substitute_1:1,'t','l'
,i,26,insert_0:n,'','i'
m,w,25,substitute_1:1,'m','w'
", ",,21,delete_n:0,"', '",''
n,,21,delete_n:0,'n',''
 ',,21,delete_n:0,""" '""",''
c,C,19,substitute_1:1,'c','C'
s,S,19,substitute_1:1,'s','S'
t,f,19,substitute_1:1,'t','f'
e,,19,delete_n:0,'e',''
k,h,18,substitute_1:1,'k','h'
n,s,17,substitute_1:1,'n','s'
' ,,17,delete_n:0,"""' """,''
. ,,16,delete_n:0,'. ',''
h,,16,delete_n:0,'h',''
n,y,16,substitute_1:1,'n','y'
th,H,16,merge_n:1,'th','H'
s,n,15,substitute_1:1,'s','n'
d,cl,15,split_1:n,'d','cl'
i,,14,delete_n:0,'i',''
e,a,14,substitute_1:1,'e','a'
r,t,14,substitute_1:1,'r','t'
,g,13,insert_0:n,'','g'
o,,13,delete_n:0,'o',''
b,l,13,substitute_1:1,'b','l'
1,,13,delete_n:0,'1',''
u,a,13,substitute_1:1,'u','a'
,ed,12,insert_0:n,'','ed'
h,l,12,substitute_1:1,'h','l'
,re,12,insert_0:n,'','re'
n,r,12,substitute_1:1,'n','r'
.,,11,delete_n:0,'.',''
,m,11,insert_0:n,'','m'
e,o,11,substitute_1:1,'e','o'
u,e,11,substitute_1:1,'u','e'
d,,11,delete_n:0,'d',''
 ,"""",11,substitute_1:1,' ',"'""'"
h,n,11,substitute_1:1,'h','n'
th,Hu,11,replace_2:2,'th','Hu'
e,at,11,split_1:n,'e','at'
d,ch,11,split_1:n,'d','ch'
m,n,10,substitute_1:1,'m','n'
M,H,10,substitute_1:1,'M','H'
H,th,10,split_1:n,'H','th'
,'s,10,insert_0:n,'',"""'s"""
,av,10,insert_0:n,'','av'
n,t,10,substitute_1:1,'n','t'
,se,10,insert_0:n,'','se'
r ,s,10,merge_n:1,'r ','s'
t,k,10,substitute_1:1,'t','k'
u,es,10,split_1:n,'u','es'
i,u,9,substitute_1:1,'i','u'
,ly,9,insert_0:n,'','ly'
s,t,9,substitute_1:1,'s','t'
the ,,9,delete_n:0,'the ',''
s,m,9,substitute_1:1,'s','m'
a,,9,delete_n:0,'a',''
l,,9,delete_n:0,'l',''
 the,,9,delete_n:0,' the',''
,f,9,insert_0:n,'','f'
,un,9,insert_0:n,'','un'
k,t,9,substitute_1:1,'k','t'
m,u,9,substitute_1:1,'m','u'
 .,",",8,merge_n:1,' .',"','"
k,l,8,substitute_1:1,'k','l'
h,le,8,split_1:n,'h','le'
e,is,8,split_1:n,'e','is'
d,l,8,substitute_1:1,'d','l'
v,r,8,substitute_1:1,'v','r'
t,W,8,substitute_1:1,'t','W'
a,x,8,substitute_1:1,'a','x'
 . ',,8,delete_n:0,""" . '""",''
s,y,8,substitute_1:1,'s','y'
m,,7,delete_n:0,'m',''
v,w,7,substitute_1:1,'v','w'
" . """,,7,delete_n:0,"' . ""'",''
a,ou,7,split_1:n,'a','ou'
e,c,7,substitute_1:1,'e','c'
,w,7,insert_0:n,'','w'
F,T,7,substitute_1:1,'F','T'
 ' ,,7,delete_n:0,""" ' """,''
e,u,7,substitute_1:1,'e','u'
e,i,7,substitute_1:1,'e','i'
w,m,7,substitute_1:1,'w','m'
u,,7,delete_n:0,'u',''
h,lu,6,split_1:n,'h','lu'
,',6,insert_0:n,'',"""'"""
 .,s,6,merge_n:1,' .','s'
l,h,6,substitute_1:1,'l','h'
n,w,6,substitute_1:1,'n','w'
,er,6,insert_0:n,'','er'
as,ere,6,replace_2:3,'as','ere'
c,e,6,substitute_1:1,'c','e'
h,Lu,6,split_1:n,'h','Lu'
o,c,6,substitute_1:1,'o','c'
, in,6,insert_0:n,'',' in'
r,v,6,substitute_1:1,'r','v'
-, ,6,substitute_1:1,'-',' '
p,P,6,substitute_1:1,'p','P'
a,c,6,substitute_1:1,'a','c'
h,b,6,substitute_1:1,'h','b'
,wo,6,insert_0:n,'','wo'
N,W,6,substitute_1:1,'N','W'
a ,,6,delete_n:0,'a ',''
ch,d,6,merge_n:1,'ch','d'
a,u,6,substitute_1:1,'a','u'
ma,wo,6,replace_2:2,'ma','wo'
u,n,6,substitute_1:1,'u','n'
M,he,5,split_1:n,'M','he'
S,L,5,substitute_1:1,'S','L'
 . ,,5,delete_n:0,' . ',''
,",",5,insert_0:n,'',"','"
tr,h,5,merge_n:1,'tr','h'
,ing,5,insert_0:n,'','ing'
c,,5,delete_n:0,'c',''
r,u,5,substitute_1:1,'r','u'
or,as,5,replace_2:2,'or','as'
,ir,5,insert_0:n,'','ir'
in ,,5,delete_n:0,'in ',''
,es,5,insert_0:n,'','es'
f,t,5,substitute_1:1,'f','t'
i,e,5,substitute_1:1,'i','e'
o,i,5,substitute_1:1,'o','i'
w,us,5,split_1:n,'w','us'
r,c,5,substitute_1:1,'r','c'
w,c,5,substitute_1:1,'w','c'
m,un,5,split_1:n,'m','un'
t,T,5,substitute_1:1,'t','T'
n,d,5,substitute_1:1,'n','d'
u,ve,5,split_1:n,'u','ve'
n,v,5,substitute_1:1,'n','v'
h,u,5,substitute_1:1,'h','u'
' ,"""",5,merge_n:1,"""' ""","'""'"
i,a,5,substitute_1:1,'i','a'
,v,4,insert_0:n,'','v'
t,w,4,substitute_1:1,'t','w'
er,,4,delete_n:0,'er',''
L,l,4,substitute_1:1,'L','l'
w,W,4,substitute_1:1,'w','W'
, is,4,insert_0:n,'',' is'
. H,th,4,replace_3:2,'. H','th'
y,g,4,substitute_1:1,'y','g'
, to,4,insert_0:n,'',' to'
 ,y,4,substitute_1:1,' ','y'
a,i,4,substitute_1:1,'a','i'
w,n,4,substitute_1:1,'w','n'
of,at,4,replace_2:2,'of','at'
k,th,4,split_1:n,'k','th'
y,,4,delete_n:0,'y',''
,ce,4,insert_0:n,'','ce'
h,li,4,split_1:n,'h','li'
l,d,4,substitute_1:1,'l','d'
i,or,4,split_1:n,'i','or'
, a,4,insert_0:n,'',' a'
r,d,4,substitute_1:1,'r','d'
C,G,4,substitute_1:1,'C','G'
st,d,4,merge_n:1,'st','d'
o,s,4,substitute_1:1,'o','s'
 #,,4,delete_n:0,' #',''
-,,4,delete_n:0,'-',''
 a,,4,delete_n:0,' a',''
l,C,4,substitute_1:1,'l','C'
v,c,4,substitute_1:1,'v','c'
v,u,4,substitute_1:1,'v','u'
ed,ing,4,replace_2:3,'ed','ing'
f,F,4,substitute_1:1,'f','F'
h,k,4,substitute_1:1,'h','k'
,th,4,insert_0:n,'','th'
w,re,4,split_1:n,'w','re'
t,ch,4,split_1:n,'t','ch'
1,Al,4,split_1:n,'1','Al'
6,,4,delete_n:0,'6',''
b,s,4,substitute_1:1,'b','s'
a,oo,4,split_1:n,'a','oo'
th,K,4,merge_n:1,'th','K'
er,is,4,replace_2:2,'er','is'
b,S,4,substitute_1:1,'b','S'
,p,3,insert_0:n,'','p'
k,lie,3,split_1:n,'k','lie'
I,J,3,substitute_1:1,'I','J'
os,ar,3,replace_2:2,'os','ar'
be ,,3,delete_n:0,'be ',''
 -,,3,delete_n:0,' -',''
,wa,3,insert_0:n,'','wa'
e,r,3,substitute_1:1,'e','r'
to ,,3,delete_n:0,'to ',''
w,,3,delete_n:0,'w',''
o,en,3,split_1:n,'o','en'
,"""""",3,insert_0:n,'',"'""""'"
on,as,3,replace_2:2,'on','as'
,s',3,insert_0:n,'',"""s'"""
b,h,3,substitute_1:1,'b','h'
on,ar,3,replace_2:2,'on','ar'
s,d,3,substitute_1:1,'s','d'
d,s,3,substitute_1:1,'d','s'
r ,,3,delete_n:0,'r ',''
d,th,3,split_1:n,'d','th'
,al,3,insert_0:n,'','al'
a,re,3,split_1:n,'a','re'
oul,ante,3,replace_3:4,'oul','ante'
,cil,3,insert_0:n,'','cil'
#,to,3,split_1:n,'#','to'
l,t,3,substitute_1:1,'l','t'
ne,us,3,replace_2:2,'ne','us'
ti,ha,3,replace_2:2,'ti','ha'
a,ce,3,split_1:n,'a','ce'
o,es,3,split_1:n,'o','es'
g,s,3,substitute_1:1,'g','s'
,de,3,insert_0:n,'','de'
nd,t,3,merge_n:1,'nd','t'
,R,3,insert_0:n,'','R'
,st,3,insert_0:n,'','st'
3,5,3,substitute_1:1,'3','5'
-,s,3,substitute_1:1,'-','s'
W,h,3,substitute_1:1,'W','h'
s,ed,3,split_1:n,'s','ed'
g,p,3,substitute_1:1,'g','p'
s,o,3,substitute_1:1,'s','o'
e,k,3,substitute_1:1,'e','k'
b,th,3,split_1:n,'b','th'
G,g,3,substitute_1:1,'G','g'
e,y,3,substitute_1:1,'e','y'
c,s,3,substitute_1:1,'c','s'
u,en,3,split_1:n,'u','en'
w,me,3,split_1:n,'w','me'
th,ll,3,replace_2:2,'th','ll'
,.,3,insert_0:n,'','.'
 ,ly,3,split_1:n,' ','ly'
s,c,3,substitute_1:1,'s','c'
l,k,3,substitute_1:1,'l','k'
H,Th,3,split_1:n,'H','Th'
a,s,3,substitute_1:1,'a','s'
e,g,3,substitute_1:1,'e','g'
n ,r,3,merge_n:1,'n ','r'
m,M,3,substitute_1:1,'m','M'
b,lo,3,split_1:n,'b','lo'
n,re,3,split_1:n,'n','re'
er,as,3,replace_2:2,'er','as'
to,he,3,replace_2:2,'to','he'
m ,n,3,merge_n:1,'m ','n'
,is,3,insert_0:n,'','is'
ou,e,3,merge_n:1,'ou','e'
s,p,3,substitute_1:1,'s','p'
w,ur,3,split_1:n,'w','ur'
k,v,3,substitute_1:1,'k','v'
 ,ed,3,split_1:n,' ','ed'
,on,3,insert_0:n,'','on'
 ,C,3,substitute_1:1,' ','C'
S,s,3,substitute_1:1,'S','s'
u,o,3,substitute_1:1,'u','o'
u,r,3,substitute_1:1,'u','r'
was ,,3,delete_n:0,'was ',''
d,g,3,substitute_1:1,'d','g'
he,o,3,merge_n:1,'he','o'
b,f,3,substitute_1:1,'b','f'
 ... .,,3,delete_n:0,' ... .',''
a,d,3,substitute_1:1,'a','d'
tt,ll,3,replace_2:2,'tt','ll'
 ,d,3,substitute_1:1,' ','d'
a,g,3,substitute_1:1,'a','g'
is,at,3,replace_2:2,'is','at'
a,q,3,substitute_1:1,'a','q'
wa,use,3,replace_2:3,'wa','use'
1,al,3,split_1:n,'1','al'
u,i,3,substitute_1:1,'u','i'
6,b,3,substitute_1:1,'6','b'
,vi,3,insert_0:n,'','vi'
e,s,3,substitute_1:1,'e','s'
It,H,3,merge_n:1,'It','H'
s,ing,3,split_1:n,'s','ing'
is,er,3,replace_2:2,'is','er'
r,l,3,substitute_1:1,'r','l'
,ch,3,insert_0:n,'','ch'
n,h,3,substitute_1:1,'n','h'
up,my,3,replace_2:2,'up','my'
" "" ",,3,delete_n:0,"' "" '",''
k,u,3,substitute_1:1,'k','u'
T,P,3,substitute_1:1,'T','P'
r,e,3,substitute_1:1,'r','e'
at,,2,delete_n:0,'at',''
,su,2,insert_0:n,'','su'
l,L,2,substitute_1:1,'l','L'
nd,mal,2,replace_2:3,'nd','mal'
 :,;,2,merge_n:1,' :',';'
f,s,2,substitute_1:1,'f','s'
Y,y,2,substitute_1:1,'Y','y'
H,tt,2,split_1:n,'H','tt'
r,w,2,substitute_1:1,'r','w'
',,2,delete_n:0,"""'""",''
a,ive,2,split_1:n,'a','ive'
,wi,2,insert_0:n,'','wi'
s,l,2,substitute_1:1,'s','l'
k,he,2,split_1:n,'k','he'
f,,2,delete_n:0,'f',''
un,,2,delete_n:0,'un',''
e,ou,2,split_1:n,'e','ou'
,"ly""",2,insert_0:n,'',"'ly""'"
,n't,2,insert_0:n,'',"""n't"""
H,h,2,substitute_1:1,'H','h'
b,p,2,substitute_1:1,'b','p'
n,se,2,split_1:n,'n','se'
,oc,2,insert_0:n,'','oc'
d,sh,2,split_1:n,'d','sh'
n,i,2,substitute_1:1,'n','i'
om,,2,delete_n:0,'om',''
ar,os,2,replace_2:2,'ar','os'
wer,,2,delete_n:0,'wer',''
s,v,2,substitute_1:1,'s','v'
ou,a,2,merge_n:1,'ou','a'
r,o,2,substitute_1:1,'r','o'
,et,2,insert_0:n,'','et'
,ck,2,insert_0:n,'','ck'
,ged,2,insert_0:n,'','ged'
r,h,2,substitute_1:1,'r','h'
G,C,2,substitute_1:1,'G','C'
e ,,2,delete_n:0,'e ',''
no,my,2,replace_2:2,'no','my'
,"s""",2,insert_0:n,'',"'s""'"
ac,ex,2,replace_2:2,'ac','ex'
 ;,",",2,merge_n:1,' ;',"','"
h,im,2,split_1:n,'h','im'
he,wo,2,replace_2:2,'he','wo'
m,us,2,split_1:n,'m','us'
e,"""",2,substitute_1:1,'e',"'""'"
au,ev,2,replace_2:2,'au','ev'
s .,,2,delete_n:0,'s .',''
a,ev,2,split_1:n,'a','ev'
d,el,2,split_1:n,'d','el'
P,B,2,substitute_1:1,'P','B'
o,ca,2,split_1:n,'o','ca'
,C,2,insert_0:n,'','C'
#,was,2,split_1:n,'#','was'
L,h,2,substitute_1:1,'L','h'
av,ous,2,replace_2:3,'av','ous'
8,5,2,substitute_1:1,'8','5'
mm,,2,delete_n:0,'mm',''
g,y,2,substitute_1:1,'g','y'
n,ver,2,split_1:n,'n','ver'
on,cur,2,replace_2:3,'on','cur'
a,n,2,substitute_1:1,'a','n'
G,Cr,2,split_1:n,'G','Cr'
r,m,2,substitute_1:1,'r','m'
a,cu,2,split_1:n,'a','cu'
on,caus,2,replace_2:4,'on','caus'
,leas,2,insert_0:n,'','leas'
C,c,2,substitute_1:1,'C','c'
in,,2,delete_n:0,'in',''
t,v,2,substitute_1:1,'t','v'
I,O,2,substitute_1:1,'I','O'
t,r,2,substitute_1:1,'t','r'
A,H,2,substitute_1:1,'A','H'
u,c,2,substitute_1:1,'u','c'
b,B,2,substitute_1:1,'b','B'
is ,"""",2,merge_n:1,'is ',"'""'"
om,aus,2,replace_2:3,'om','aus'
al,,2,delete_n:0,'al',''
a,un,2,split_1:n,'a','un'
,rke,2,insert_0:n,'','rke'
m,ir,2,split_1:n,'m','ir'
,S,2,insert_0:n,'','S'
mmo,u,2,merge_n:1,'mmo','u'
ch,de,2,replace_2:2,'ch','de'
,em,2,insert_0:n,'','em'
w,eds,2,split_1:n,'w','eds'
,ey,2,insert_0:n,'','ey'
R,r,2,substitute_1:1,'R','r'
ar,,2,delete_n:0,'ar',''
e,st,2,split_1:n,'e','st'
h,ak,2,split_1:n,'h','ak'
,te,2,insert_0:n,'','te'
n,vi,2,split_1:n,'n','vi'
v,ce,2,split_1:n,'v','ce'
ew,,2,delete_n:0,'ew',''
out,and,2,replace_3:3,'out','and'
i,e',2,split_1:n,'i',"""e'"""
b,liv,2,split_1:n,'b','liv'
M,T,2,substitute_1:1,'M','T'
o,er,2,split_1:n,'o','er'
m,v,2,substitute_1:1,'m','v'
m,r,2,substitute_1:1,'m','r'
""" T",t,2,merge_n:1,"'"" T'",'t'
, they,2,insert_0:n,'',' they'
th,M,2,merge_n:1,'th','M'
#,treat,2,split_1:n,'#','treat'
u,as,2,split_1:n,'u','as'
l,c,2,substitute_1:1,'l','c'
t,nd,2,split_1:n,'t','nd'
r .,s,2,merge_n:1,'r .','s'
L,d,2,substitute_1:1,'L','d'
w,st,2,split_1:n,'w','st'
,ve,2,insert_0:n,'','ve'
re,ac,2,replace_2:2,'re','ac'
,os,2,insert_0:n,'','os'
2,z,2,substitute_1:1,'2','z'
 ) ,,2,delete_n:0,' ) ',''
Mr.,the,2,replace_3:3,'Mr.','the'
s,rt,2,split_1:n,'s','rt'
n,ry,2,split_1:n,'n','ry'
T,t,2,substitute_1:1,'T','t'
A,a,2,substitute_1:1,'A','a'
,il,2,insert_0:n,'','il'
- ,,2,delete_n:0,'- ',''
y,gr,2,split_1:n,'y','gr'
" "" .",,2,delete_n:0,"' "" .'",''
, such,2,insert_0:n,'',' such'
d,st,2,split_1:n,'d','st'
d,c,2,substitute_1:1,'d','c'
tra,,2,delete_n:0,'tra',''
M,U,2,substitute_1:1,'M','U'
f,l,2,substitute_1:1,'f','l'
e,ing,2,split_1:n,'e','ing'
z,s,2,substitute_1:1,'z','s'
not ,,2,delete_n:0,'not ',''
l,w,2,substitute_1:1,'l','w'
 .,g,2,merge_n:1,' .','g'
I,,2,delete_n:0,'I',''
tl,h,2,merge_n:1,'tl','h'
er,s,2,merge_n:1,'er','s'
rt,d,2,merge_n:1,'rt','d'
u,ea,2,split_1:n,'u','ea'
,I ,2,insert_0:n,'','I '
o,at,2,split_1:n,'o','at'
 .,"""",2,merge_n:1,' .',"'""'"
and ,,2,delete_n:0,'and ',''
,iv,2,insert_0:n,'','iv'
t,c,2,substitute_1:1,'t','c'
n,a,2,substitute_1:1,'n','a'
k,lc,2,split_1:n,'k','lc'
k,n,2,substitute_1:1,'k','n'
d,ct,2,split_1:n,'d','ct'
m,llu,2,split_1:n,'m','llu'
e,co,2,split_1:n,'e','co'
th,flu,2,replace_2:3,'th','flu'
,ri,2,insert_0:n,'','ri'
,ma,2,insert_0:n,'','ma'
q,g,2,substitute_1:1,'q','g'
w,th,2,split_1:n,'w','th'
H,"""th",2,split_1:n,'H',"'""th'"
or,,2,delete_n:0,'or',''
7,4,2,substitute_1:1,'7','4'
nk,ul,2,replace_2:2,'nk','ul'
S,D,2,substitute_1:1,'S','D'
i,o,2,substitute_1:1,'i','o'
W,w,2,substitute_1:1,'W','w'
,ny,2,insert_0:n,'','ny'
an,su,2,replace_2:2,'an','su'
a,or,2,split_1:n,'a','or'
e,l,2,substitute_1:1,'e','l'
,le,2,insert_0:n,'','le'
" ,",s,2,merge_n:1,"' ,'",'s'
c,w,2,substitute_1:1,'c','w'
d,ly,2,split_1:n,'d','ly'
,the,2,insert_0:n,'','the'
 ,.,2,substitute_1:1,' ','.'
, priest,2,insert_0:n,'',' priest'
',I,2,substitute_1:1,"""'""",'I'
 :,,2,delete_n:0,' :',''
as,go,2,replace_2:2,'as','go'
s,w,2,substitute_1:1,'s','w'
,of ,2,insert_0:n,'','of '
N,M,2,substitute_1:1,'N','M'
u,in,2,split_1:n,'u','in'
no,ma,2,replace_2:2,'no','ma'
tuat,sh,2,replace_4:2,'tuat','sh'
1t,T,2,merge_n:1,'1t','T'
u,y,2,substitute_1:1,'u','y'
y,x,2,substitute_1:1,'y','x'
 ',"""",2,merge_n:1,""" '""","'""'"
ha,use,2,replace_2:3,'ha','use'
6,Go,2,split_1:n,'6','Go'
w,ver,2,split_1:n,'w','ver'
i,I,2,substitute_1:1,'i','I'
o,he,2,split_1:n,'o','he'
Ita,Ho,2,replace_3:2,'Ita','Ho'
e,h,2,substitute_1:1,'e','h'
M,P,2,substitute_1:1,'M','P'
h,lo,2,split_1:n,'h','lo'
n ,m,2,merge_n:1,'n ','m'
s,nd,2,split_1:n,'s','nd'
d ,,2,delete_n:0,'d ',''
an,our,2,replace_2:3,'an','our'
i,ve,2,split_1:n,'i','ve'
 ,o,2,substitute_1:1,' ','o'
da,the,2,replace_2:3,'da','the'
, was,2,insert_0:n,'',' was'
d,t,2,substitute_1:1,'d','t'
me,,2,delete_n:0,'me',''
r,f,2,substitute_1:1,'r','f'
m,nn,2,split_1:n,'m','nn'
L,H,2,substitute_1:1,'L','H'
L,C,2,substitute_1:1,'L','C'
9,5,2,substitute_1:1,'9','5'
r,b,2,substitute_1:1,'r','b'
o,eal,2,split_1:n,'o','eal'
w,acc,2,split_1:n,'w','acc'
,ci,2,insert_0:n,'','ci'
t,n,2,substitute_1:1,'t','n'
A,t,2,substitute_1:1,'A','t'
r,st,2,split_1:n,'r','st'
,k,2,insert_0:n,'','k'
b,,2,delete_n:0,'b',''
; ,,2,delete_n:0,'; ',''
,fi,2,insert_0:n,'','fi'
u,ar,2,split_1:n,'u','ar'
n,l,2,substitute_1:1,'n','l'
w,nal,2,split_1:n,'w','nal'
 2,,2,delete_n:0,' 2',''
2,,2,delete_n:0,'2',''
,ar,2,insert_0:n,'','ar'
" , """,,2,delete_n:0,"' , ""'",''
" "" """,,2,delete_n:0,"' "" ""'",''
k,b,2,substitute_1:1,'k','b'
w,ar,2,split_1:n,'w','ar'
m,k,2,substitute_1:1,'m','k'
h,m,2,substitute_1:1,'h','m'
l,P,2,substitute_1:1,'l','P'
m,wy,2,split_1:n,'m','wy'
1,I,2,substitute_1:1,'1','I'
1,l,2,substitute_1:1,'1','l'
T,C,2,substitute_1:1,'T','C'
p,e,2,substitute_1:1,'p','e'
,rs,2,insert_0:n,'','rs'
es ,,2,delete_n:0,'es ',''
,my ,2,insert_0:n,'','my '
,lunc,2,insert_0:n,'','lunc'
g,f,2,substitute_1:1,'g','f'
c,r,2,substitute_1:1,'c','r'
m ,s,2,merge_n:1,'m ','s'
d,al,2,split_1:n,'d','al'
on,m,2,merge_n:1,'on','m'
. L,l,2,merge_n:1,'. L','l'
.,",",2,substitute_1:1,'.',"','"
ear,sou,2,replace_3:3,'ear','sou'
th,l,2,merge_n:1,'th','l'
n,mm,2,split_1:n,'n','mm'
ck,de,2,replace_2:2,'ck','de'
0,U,1,substitute_1:1,'0','U'
M,17,1,split_1:n,'M','17'
and,Cruel,1,replace_3:5,'and','Cruel'
-,mo,1,split_1:n,'-','mo'
wi,We',1,replace_2:3,'wi',"""We'"""
0,O,1,substitute_1:1,'0','O'
0m,OM,1,replace_2:2,'0m','OM'
Lab,Col,1,replace_3:3,'Lab','Col'
a,pt,1,split_1:n,'a','pt'
Afr,th,1,replace_3:2,'Afr','th'
can,eves,1,replace_3:4,'can','eves'
L,P,1,substitute_1:1,'L','P'
bour,lace,1,replace_4:4,'bour','lace'
#,Peers,1,split_1:n,'#','Peers'
o,u,1,substitute_1:1,'o','u'
United ,,1,delete_n:0,'United ',''
on ,cu,1,replace_3:2,'on ','cu'
c,t,1,substitute_1:1,'c','t'
ks,ler,1,replace_2:3,'ks','ler'
, d,1,insert_0:n,'',' d'
k,ler,1,split_1:n,'k','ler'
Un,Lim,1,replace_2:3,'Un','Lim'
rt,ul,1,replace_2:2,'rt','ul'
q,c,1,substitute_1:1,'q','c'
S,H,1,substitute_1:1,'S','H'
 :,.,1,merge_n:1,' :','.'
,"""t",1,insert_0:n,'',"'""t'"
ch,g,1,merge_n:1,'ch','g'
.,"""",1,substitute_1:1,'.',"'""'"
Lancaster ,"""",1,merge_n:1,'Lancaster ',"'""'"
," lancastes""",1,insert_0:n,'',"' lancastes""'"
, Mr.,1,insert_0:n,'',' Mr.'
, have,1,insert_0:n,'',' have'
C,E,1,substitute_1:1,'C','E'
t,Be,1,split_1:n,'t','Be'
, in the Commons,1,insert_0:n,'',' in the Commons'
t,llec,1,split_1:n,'t','llec'
b,fail,1,split_1:n,'b','fail'
en,d,1,merge_n:1,'en','d'
.,the,1,split_1:n,'.','the'
MR. ,,1,delete_n:0,'MR. ',''
",",M.V.,1,split_1:n,"','",'M.V.'
l,ted,1,split_1:n,'l','ted'
,O,1,insert_0:n,'','O'
I,/,1,substitute_1:1,'I','/'
wa,kno,1,replace_2:3,'wa','kno'
r.,s,1,merge_n:1,'r.','s'
a,ro,1,split_1:n,'a','ro'
